Season,Date,Visitor,Visit_League,Home,HomeLeague,VisitScore,HomeScore
2000,4/18/2000,SFN,NL,CIN,NL,13,9
2000,4/18/2000,PIT,NL,FLO,NL,5,12
2000,4/18/2000,HOU,NL,LAN,NL,3,5
2000,4/18/2000,CHN,NL,MON,NL,3,4
2000,4/18/2000,MIL,NL,NYN,NL,7,10
2000,4/18/2000,SDN,NL,SLN,NL,4,5
2000,4/18/2000,SEA,AL,CHA,AL,11,18
2000,4/18/2000,OAK,AL,CLE,AL,8,5
2000,4/18/2000,BOS,AL,DET,AL,7,0
2000,4/18/2000,KCA,AL,MIN,AL,1,3
2000,4/18/2000,NYA,AL,TEX,AL,6,3
2000,4/18/2000,ANA,AL,TOR,AL,16,10
2000,4/19/2000,COL,NL,ARI,NL,7,8
2000,4/19/2000,PHI,NL,ATL,NL,1,10
2000,4/19/2000,SFN,NL,CIN,NL,4,5
2000,4/19/2000,PIT,NL,FLO,NL,5,1
2000,4/19/2000,HOU,NL,LAN,NL,10,3
2000,4/19/2000,CHN,NL,MON,NL,3,7
2000,4/19/2000,MIL,NL,NYN,NL,1,3
2000,4/19/2000,SDN,NL,SLN,NL,3,4
2000,4/19/2000,TBA,AL,BAL,AL,2,3
2000,4/19/2000,SEA,AL,CHA,AL,2,5
2000,4/19/2000,OAK,AL,CLE,AL,10,5
2000,4/19/2000,BOS,AL,DET,AL,10,0
2000,4/19/2000,KCA,AL,MIN,AL,6,7
2000,4/19/2000,NYA,AL,TEX,AL,5,4
2000,4/19/2000,ANA,AL,TOR,AL,4,12
2000,4/20/2000,COL,NL,ARI,NL,0,3
2000,4/20/2000,PHI,NL,ATL,NL,4,6
2000,4/20/2000,SFN,NL,CIN,NL,1,11
2000,4/20/2000,PIT,NL,FLO,NL,2,3
2000,4/20/2000,CHN,NL,MON,NL,10,6
2000,4/20/2000,MIL,NL,NYN,NL,4,5
2000,4/20/2000,SDN,NL,SLN,NL,1,14
2000,4/20/2000,TBA,AL,BAL,AL,4,8
2000,4/20/2000,OAK,AL,CLE,AL,5,9
2000,4/20/2000,KCA,AL,MIN,AL,7,9
2000,4/20/2000,ANA,AL,TOR,AL,11,12
2000,4/21/2000,SFN,NL,ARI,NL,11,5
2000,4/21/2000,PIT,NL,ATL,NL,2,6
2000,4/21/2000,LAN,NL,CIN,NL,9,2
2000,4/21/2000,PHI,NL,FLO,NL,4,3
2000,4/21/2000,SDN,NL,HOU,NL,7,2
2000,4/21/2000,MIL,NL,MON,NL,1,5
2000,4/21/2000,COL,NL,SLN,NL,6,4
2000,4/21/2000,DET,AL,CHA,AL,2,7
2000,4/21/2000,BAL,AL,OAK,AL,11,9
2000,4/21/2000,KCA,AL,SEA,AL,2,10
2000,4/21/2000,ANA,AL,TBA,AL,9,6
2000,4/21/2000,MIN,AL,TEX,AL,10,5
2000,4/21/2000,NYA,AL,TOR,AL,3,8
2000,4/22/2000,SFN,NL,ARI,NL,8,6
2000,4/22/2000,PIT,NL,ATL,NL,2,4
2000,4/22/2000,LAN,NL,CIN,NL,16,2
2000,4/22/2000,PHI,NL,FLO,NL,2,4
2000,4/22/2000,SDN,NL,HOU,NL,8,6
2000,4/22/2000,MIL,NL,MON,NL,7,3
2000,4/22/2000,CHN,NL,NYN,NL,3,8
2000,4/22/2000,CHN,NL,NYN,NL,6,7
2000,4/22/2000,COL,NL,SLN,NL,7,6
2000,4/22/2000,DET,AL,CHA,AL,6,14
2000,4/22/2000,BAL,AL,OAK,AL,4,3
2000,4/22/2000,KCA,AL,SEA,AL,2,4
2000,4/22/2000,ANA,AL,TBA,AL,9,11
2000,4/22/2000,MIN,AL,TEX,AL,3,8
2000,4/22/2000,NYA,AL,TOR,AL,2,8
2000,4/23/2000,SFN,NL,ARI,NL,12,7
2000,4/23/2000,PIT,NL,ATL,NL,3,5
2000,4/23/2000,LAN,NL,CIN,NL,11,3
2000,4/23/2000,PHI,NL,FLO,NL,2,5
2000,4/23/2000,SDN,NL,HOU,NL,11,10
2000,4/23/2000,MIL,NL,MON,NL,4,6
2000,4/23/2000,CHN,NL,NYN,NL,8,15
2000,4/23/2000,COL,NL,SLN,NL,3,6
2000,4/23/2000,DET,AL,CHA,AL,4,9
2000,4/23/2000,BAL,AL,OAK,AL,2,3
2000,4/23/2000,KCA,AL,SEA,AL,5,8
2000,4/23/2000,ANA,AL,TBA,AL,0,1
2000,4/23/2000,MIN,AL,TEX,AL,5,4
2000,4/23/2000,NYA,AL,TOR,AL,10,7
2000,4/24/2000,PHI,NL,FLO,NL,1,3
2000,4/24/2000,LAN,NL,NYN,NL,0,1
2000,4/24/2000,DET,AL,ANA,AL,4,10
2000,4/24/2000,BAL,AL,CHA,AL,2,8
2000,4/24/2000,MIN,AL,NYA,AL,7,3
2000,4/24/2000,TOR,AL,OAK,AL,3,2
2000,4/24/2000,CLE,AL,SEA,AL,6,0
2000,4/24/2000,BOS,AL,TEX,AL,4,5
2000,4/25/2000,LAN,NL,ATL,NL,0,1
2000,4/25/2000,SFN,NL,FLO,NL,6,4
2000,4/25/2000,CHN,NL,HOU,NL,7,11
2000,4/25/2000,COL,NL,MON,NL,4,10
2000,4/25/2000,CIN,NL,NYN,NL,5,6
2000,4/25/2000,ARI,NL,PHI,NL,10,2
2000,4/25/2000,SDN,NL,PIT,NL,3,4
2000,4/25/2000,MIL,NL,SLN,NL,2,7
2000,4/25/2000,DET,AL,ANA,AL,4,2
2000,4/25/2000,BAL,AL,CHA,AL,12,6
2000,4/25/2000,TBA,AL,KCA,AL,6,7
2000,4/25/2000,MIN,AL,NYA,AL,6,1
2000,4/25/2000,TOR,AL,OAK,AL,2,11
2000,4/25/2000,CLE,AL,SEA,AL,5,8
2000,4/25/2000,BOS,AL,TEX,AL,6,3
2000,4/26/2000,LAN,NL,ATL,NL,1,5
2000,4/26/2000,SFN,NL,FLO,NL,8,7
2000,4/26/2000,CHN,NL,HOU,NL,13,8
2000,4/26/2000,COL,NL,MON,NL,2,9
2000,4/26/2000,CIN,NL,NYN,NL,12,1
2000,4/26/2000,ARI,NL,PHI,NL,10,4
2000,4/26/2000,SDN,NL,PIT,NL,8,9
2000,4/26/2000,MIL,NL,SLN,NL,0,7
2000,4/26/2000,DET,AL,ANA,AL,1,6
2000,4/26/2000,BAL,AL,CHA,AL,6,11
2000,4/26/2000,TBA,AL,KCA,AL,6,7
2000,4/26/2000,MIN,AL,NYA,AL,0,2
2000,4/26/2000,TOR,AL,OAK,AL,4,2
2000,4/26/2000,CLE,AL,SEA,AL,5,3
2000,4/26/2000,BOS,AL,TEX,AL,14,4
2000,4/27/2000,LAN,NL,ATL,NL,3,6
2000,4/27/2000,CHN,NL,HOU,NL,12,3
2000,4/27/2000,CIN,NL,NYN,NL,2,1
2000,4/27/2000,ARI,NL,PHI,NL,4,5
2000,4/27/2000,SDN,NL,PIT,NL,12,4
2000,4/27/2000,MIL,NL,SLN,NL,8,4
2000,4/27/2000,TBA,AL,ANA,AL,7,3
2000,4/27/2000,BAL,AL,CHA,AL,4,13
2000,4/28/2000,ARI,NL,CHN,NL,5,6
2000,4/28/2000,NYN,NL,COL,NL,5,12
2000,4/28/2000,FLO,NL,LAN,NL,3,5
2000,4/28/2000,HOU,NL,MIL,NL,7,0
2000,4/28/2000,SLN,NL,PHI,NL,7,4
2000,4/28/2000,CIN,NL,PIT,NL,1,2
2000,4/28/2000,ATL,NL,SDN,NL,7,2
2000,4/28/2000,MON,NL,SFN,NL,9,3
2000,4/28/2000,TBA,AL,ANA,AL,11,2
2000,4/28/2000,TEX,AL,BAL,AL,3,4
2000,4/28/2000,BOS,AL,CLE,AL,3,4
2000,4/28/2000,CHA,AL,DET,AL,3,2
2000,4/28/2000,SEA,AL,KCA,AL,5,8
2000,4/28/2000,OAK,AL,MIN,AL,5,2
2000,4/28/2000,TOR,AL,NYA,AL,0,6
2000,4/29/2000,ARI,NL,CHN,NL,7,4
2000,4/29/2000,NYN,NL,COL,NL,13,6
2000,4/29/2000,FLO,NL,LAN,NL,12,13
2000,4/29/2000,HOU,NL,MIL,NL,10,3
2000,4/29/2000,SLN,NL,PHI,NL,7,6
2000,4/29/2000,CIN,NL,PIT,NL,6,5
2000,4/29/2000,ATL,NL,SDN,NL,7,4
2000,4/29/2000,MON,NL,SFN,NL,1,2
2000,4/29/2000,TBA,AL,ANA,AL,6,7
2000,4/29/2000,TEX,AL,BAL,AL,1,3
2000,4/29/2000,BOS,AL,CLE,AL,2,3
2000,4/29/2000,CHA,AL,DET,AL,2,1
